date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-03-31,1524.63,1530.4,1504.46,1505.36,2108494.0,3311857714.0,1256197800.0,0.0016784729283875518
2025-04-01,1508.26,1513.94,1496.89,1500.56,1855644.0,2893739955.0,1256197800.0,0.0014771909328292088
2025-04-02,1502.47,1511.92,1490.42,1493.81,2167401.0,3371883024.0,1256197800.0,0.0017253660211791486
2025-04-03,1475.47,1529.47,1474.51,1512.96,3548050.0,5557442052.0,1256197800.0,0.002824435769589789
2025-04-07,1465.83,1482.07,1409.89,1446.54,10195267.0,15314738235.0,1256197800.0,0.008115972659719672
2025-04-08,1459.07,1489.93,1441.72,1489.93,7387649.0,11226977557.0,1256197800.0,0.005880959988944417
2025-04-09,1470.67,1501.31,1466.36,1486.11,5563004.0,8562928225.0,1256197800.0,0.004428445902388939
2025-04-10,1495.71,1499.58,1473.54,1493.79,3862021.0,5963650791.0,1256197800.0,0.003074373319233643
2025-04-11,1523.66,1523.66,1489.93,1513.06,3263423.0,5087359924.0,1256197800.0,0.002597857598540612
2025-04-14,1505.33,1510.19,1496.23,1496.67,2171144.0,3379425640.0,1256197800.0,0.0017283456474768543
2025-04-15,1496.68,1509.22,1489.93,1502.47,2148928.0,3339942729.0,1256197800.0,0.0017106605345113643
2025-04-16,1496.68,1519.83,1482.22,1503.6,3115605.0,4834880596.0,1256197800.0,0.0024801866393970758
2025-04-17,1498.61,1520.31,1494.75,1514.04,2384605.0,3733924973.0,1256197800.0,0.001898271912273688
2025-04-18,1510.19,1518.86,1500.54,1510.13,2029848.0,3179974340.0,1256197800.0,0.0016158665458576667
2025-04-21,1509.7,1509.7,1495.72,1495.72,1805703.0,2808158177.0,1256197800.0,0.001437435251040879
2025-04-22,1494.76,1500.83,1488.21,1493.6,1843214.0,2857525967.0,1256197800.0,0.0014672959943091764
2025-04-23,1503.43,1503.65,1489.93,1496.68,1866876.0,2895468892.0,1256197800.0,0.0014861321998812607
2025-04-24,1496.68,1505.05,1493.77,1496.93,1487181.0,2313372072.0,1256197800.0,0.0011838748642928685
2025-04-25,1501.6,1505.56,1494.76,1494.76,1476490.0,2295029705.0,1256197800.0,0.0011753642619020668
2025-04-28,1496.68,1499.58,1491.48,1494.76,1465972.0,2274252465.0,1256197800.0,0.0011669913766765075
2025-04-29,1494.76,1497.21,1477.42,1488.97,1892180.0,2917422938.0,1256197800.0,0.0015062755244436823
2025-04-30,1494.75,1510.82,1491.19,1491.86,2575425.0,4005439429.0,1256197800.0,0.0020501747415892623
2025-05-06,1503.43,1503.43,1489.29,1494.95,1830026.0,2838614215.0,1256197800.0,0.001456797647631607
2025-05-07,1514.04,1514.04,1494.95,1499.58,2746221.0,4275142569.0,1256197800.0,0.002186137406067739
2025-05-08,1497.65,1536.01,1494.59,1521.94,3348106.0,5265446444.0,1256197800.0,0.0026652697529003793
2025-05-09,1522.71,1540.51,1518.91,1534.47,2367190.0,3757574546.0,1256197800.0,0.001884408649656925
2025-05-12,1541.04,1561.23,1539.7,1547.31,2473533.0,3967785800.0,1256197800.0,0.001969063311526258
2025-05-13,1551.58,1551.58,1528.61,1533.62,2125829.0,3386617848.0,1256197800.0,0.0016922725067660524
2025-05-14,1533.33,1586.37,1531.57,1576.72,3946012.0,6394735058.0,1256197800.0,0.0031412346049324398
2025-05-15,1576.53,1585.01,1566.24,1573.84,2473285.0,4043402636.0,1256197800.0,0.0019688658903876445
2025-05-16,1575.75,1578.65,1556.6,1556.6,2293522.0,3714508659.0,1256197800.0,0.0018257650188529227
2025-05-19,1539.12,1542.97,1517.78,1522.7,3806283.0,6021950010.0,1256197800.0,0.0030300029183302182
2025-05-20,1523.69,1537.96,1518.96,1529.47,1952153.0,3095742637.0,1256197800.0,0.0015540172097101269
2025-05-21,1528.51,1539.06,1524.62,1524.62,1979464.0,3143941416.0,1256197800.0,0.0015757582125999583
2025-05-22,1524.64,1528.5,1514.14,1523.69,1509024.0,2381236586.0,1256197800.0,0.0012012630494974597
2025-05-23,1519.06,1531.3,1515.64,1516.55,2153700.0,3399424961.0,1256197800.0,0.0017144592993237212
2025-05-26,1514.04,1518.51,1489.93,1495.24,2708653.0,4212944430.0,1256197800.0,0.002156231287779679
2025-05-27,1495.72,1503.05,1488.5,1488.87,1775213.0,2748945675.0,1256197800.0,0.0014131635957330922
2025-05-28,1488.96,1491.34,1478.36,1482.22,1626568.0,2504624605.0,1256197800.0,0.0012948343007765178
2025-05-29,1485.11,1499.58,1477.4,1485.11,2185958.0,3375465796.0,1256197800.0,0.0017401383762971087
2025-05-30,1485.26,1489.93,1461.23,1467.75,3123918.0,4764875947.0,1256197800.0,0.0024868042278055253
2025-06-03,1454.26,1464.86,1451.38,1455.22,2897918.0,4377892799.0,1256197800.0,0.002306896254714027
2025-06-04,1456.66,1468.72,1455.43,1456.14,2300809.0,3480363797.0,1256197800.0,0.001831565856905656
2025-06-05,1460.04,1461.97,1448.66,1460.04,2321366.0,3504925524.0,1256197800.0,0.001847930317980178
2025-06-06,1459.85,1464.83,1449.43,1452.7,2502307.0,3777727616.0,1256197800.0,0.0019919689399233147
2025-06-09,1451.38,1454.93,1432.73,1433.14,4495867.0,6723839138.0,1256197800.0,0.0035789483153051216
2025-06-10,1433.04,1438.82,1422.24,1422.44,3049220.0,4511934584.0,1256197800.0,0.002427340662433894
2025-06-11,1424.16,1440.75,1423.49,1427.25,3089282.0,4585522755.0,1256197800.0,0.002459232136849786
2025-06-12,1427.25,1430.98,1402.27,1407.0,4990361.0,7306800800.0,1256197800.0,0.00397259173674719
2025-06-13,1392.93,1398.29,1374.27,1376.09,5911325.0,8466515559.0,1256197800.0,0.004705727871836744
2025-06-16,1351.26,1374.25,1351.24,1371.6,4288787.0,6060448438.0,1256197800.0,0.003414101664562699
2025-06-17,1369.39,1376.14,1361.85,1376.14,2723151.0,3868364671.0,1256197800.0,0.002167772463858797
2025-06-18,1388.68,1391.99,1370.36,1374.21,3076099.0,4404131364.0,1256197800.0,0.002448737770437108
2025-06-19,1375.18,1382.57,1366.67,1375.18,2450072.0,3490268568.0,1256197800.0,0.0019503871126028082
2025-06-20,1372.84,1389.78,1369.58,1377.74,3481581.0,4990683314.0,1256197800.0,0.0027715229241764314
2025-06-23,1369.39,1381.93,1355.1,1369.39,2672331.0,3794012343.0,1256197800.0,0.002127317051502558
2025-06-24,1372.62,1399.94,1372.62,1385.98,3631151.0,5229183514.0,1256197800.0,0.002890588568137916
2025-06-25,1387.82,1397.55,1369.88,1384.68,4105007.0,5869292227.0,1256197800.0,0.0032678030482142222
2025-06-26,1391.31,1404.09,1386.47,1396.23,3486025.0,4955829982.0,1256197800.0,0.002775060583611912
2025-06-27,1396.24,1399.18,1379.6,1379.6,3824973.0,5404312675.0,1256197800.0,0.0030448811484942895
2025-06-30,1380.0,1389.57,1378.53,1385.92,3045730.0,4287373691.0,1256197800.0,0.002424562437539693
2025-07-01,1385.41,1388.3,1379.82,1381.58,1987819.0,2794423203.0,1256197800.0,0.0015824092352334958
2025-07-02,1385.9,1391.11,1376.56,1386.0,2621825.0,3689246316.0,1256197800.0,0.002087111599781499
2025-07-03,1388.36,1398.87,1384.43,1391.9,2441267.0,3456733002.0,1256197800.0,0.0019433778661290444
